Id,Price
4567,169983.71490880963
5925,129959.73669186389
960,139976.3701313994
3848,140174.75281264383
746,179197.99509916268
868,389105.90535723715
672,132753.26176774598
2471,203816.23495310216
4510,140104.32318384142
8354,190976.53019374135
6393,174501.1199677584
13270,228407.47689106772
5250,312200.8595350806
16751,167712.98538151078
11404,132287.78515072414
10588,332746.98742781533
14925,192613.583606827
6791,206478.3866123102
16097,175573.43458726833
16428,369972.8192426651
6945,356055.5537942435
3190,188266.51501906887
15709,423461.91955268494
13155,153770.17654191374
7675,190769.21693367817
14686,216472.1844204086
609,141217.5924020921
11155,142799.45691138506
10869,204224.27808436268
15742,185137.2738366558
9245,196297.96618708863
3340,151368.82251998613
2359,287879.06232603674
8070,214861.65066880782
13707,137869.33889820002
16079,271101.6588751929
15937,289575.420020288
14090,190364.89624198436
9008,206668.26666032764
16384,176613.36067337886
11657,263147.76014353544
13151,153155.87982801106
8990,153736.29739903996
11857,185187.2769683504
1565,142403.9010584732
8174,105163.72115128409
9247,252079.58210602417
10478,213807.06439596214
15509,151016.00343784358
8306,236605.54166281954
6642,189979.1197873304
7472,213759.42703427412
15989,129761.1578316479
13682,121931.88864981584
163,243594.42325204593
7076,184158.30160358333
7478,354937.7130996619
3029,192568.5752424958
1814,142313.63706192985
10057,134672.20759330702
15100,208007.84597890955
12694,236427.60856395724
6291,186407.82948063186
12603,197300.8645214661
3218,244543.02955586807
13456,131238.57734382915
10170,223116.23375184945
4530,157957.73939974498
13329,168492.59320713297
4820,140850.62925437195
10896,169020.1680587824
13416,126303.11884974375
2701,200144.62793123905
11265,358701.235917123
9189,276621.32060582435
1858,175614.73333768258
14536,234860.53707249128
6199,313529.8659634694
14730,149749.47741201977
7510,264855.22365265194
15505,169300.62404130973
7446,186017.0785081095
14016,187394.12676771585
14113,108912.18435325041
8721,312461.73419562494
6193,304482.43178081734
5717,175857.51613783927
5427,317389.99152026797
9520,461578.4775678704
6869,103742.23932540005
1658,163693.3994873512
6639,195227.60258095496
6283,197290.5054547124
6257,125811.31803700583
15235,180570.57425168055
902,242131.28319111522
8932,196285.10680230765
16469,341798.75783236814
2825,259638.7180074459
6450,415523.7691813508
11366,179202.23869973083
3801,346054.2560468709
11385,204863.76766338723
1079,205442.4076172087
3202,271118.24519896106
676,215103.3107600644
6185,280630.87644010765
7730,172523.90195652284
2573,181779.73700634207
10978,200430.25881045387
10962,255699.37768028662
8870,197284.287552572
8496,178633.90081154666
5517,174528.18843054958
927,190843.63624140996
13675,189490.90836254854
1499,225916.07478063583
15536,334052.89246165025
8602,320644.5695239508
12137,452769.96289512434
9865,256938.56401894987
16353,282408.70056983153
15908,211432.19121134875
3944,181176.0323174154
10359,204478.65495432192
15158,209577.20371002465
3259,232733.5534078984
7220,324122.7267287364
13843,215395.32937450742
16736,189998.6448226876
702,228629.7575688462
16401,111677.46514305366
12134,177361.4856153304
6918,214469.0056972003
11792,130789.17980341725
3798,120703.47575307619
10395,127555.88703927219
11099,138099.774653264
7090,203014.20921976227
11260,189167.5201915789
9647,208985.9850124983
2903,383074.88498186204
2071,185723.58281415157
8604,204734.6637154756
9346,212534.63161323135
3945,195786.23489242807
3420,142552.05920209605
10842,126680.23557141324
725,164299.61583885865
13931,193720.0342645428
16330,246104.24118339832
9066,380113.10166787484
3326,317699.2002543512
1556,275255.1098091989
6579,99692.66123886967
13877,145302.7978997497
9857,341803.60988537775
7302,208583.49053492
5684,180441.1611204287
6513,229720.97184075232
11342,115796.59165539932
16561,233312.536672989
6885,177568.11985257317
9308,179587.63769380175
2559,179217.7754901119
6648,179313.24522542517
15260,175975.3085524262
5113,184577.0110492994
16492,184336.9858616431
12034,272718.6833112975
7248,211367.41113550685
2171,206961.41954075222
